"profile","pro_lat","pro_long","MeanAge20cm","MeanAge40cm","MeanAge60cm","MeanAge80cm","MeanAge100cm","TransitTime_20","TransitTime_40","TransitTime_60","TransitTime_80","TransitTime_100","Biome"
"San Jorge_-73.1949817_-4.0632",-4.0632,-73.1949817,376.594112213724,376.594112213724,376.594112213724,381.779521348446,490.590472179173,12.9,22.6,61.8,104.1,135,"Tropical/Subtropical forests"
"Maqu??a_-74.825833_-6.327617",-6.327617,-74.825833,448.883385247595,448.883385247595,448.883385247595,448.883385247595,448.883385247595,72.5,317.6,1153.9,1518.7,1301.4,"Tropical/Subtropical forests"
"San Roque_-74.6259_-4.543883",-4.543883,-74.6259,940.547381209948,940.547381209948,940.547381209948,940.547381209948,940.547381209948,12.4,24.2,60.3,101.7,140.5,"Tropical/Subtropical forests"
"Hailakandi_92.57_24.68",24.68,92.57,239.279459466826,314.546663125735,314.546663125735,314.546663125735,314.546663125735,53.3,149.9,310.3,469.8,541.3,"Crops"
"Northland_173.57_-35.65",-35.65,173.57,347.672067937281,473.114442818573,699.319100950017,NA,NA,23,38.8,59.4,79.3,79.6,"Temperate forests"
"Tapuo_175.95_-38.58333",-38.58333,175.95,44.4929640817094,152.292010393091,196.903084094748,NA,NA,32.2,80.6,156.7,175.8,190.5,"Temperate forests"
"Rotorua_176.38333_-38.28333",-38.28333,176.38333,14065.2975262845,10881.1494970892,5543.52333262802,1215.52700333181,679.29351274755,32,79.6,153.7,169.9,180.9,"Temperate forests"
"Hawera_174.3_-39.61667",-39.61667,174.3,3.42304055270719,10.9442037950942,10.9442037950942,10.9442037950942,10.9442037950942,46.2,103.6,216.4,256.5,341.4,"Temperate forests"
"Hutt County_174.95_-41.116667",-41.116667,174.95,298.00371174837,1063.28622403278,4887.14381458272,7782.94053901363,NA,21.6,41,79.6,112.6,162.3,"Temperate forests"
"Westland_170.98333_-42.71667",-42.71667,170.98333,17311.6915539785,22459.4558140197,10613.0519503097,6125.76407737033,NA,22.8,40.2,73.2,91.4,151.5,"Temperate forests"
"Tuapeka_169.21667_-45.45",-45.45,169.21667,124.910292626458,176.84926149665,NA,NA,NA,19.9,34.5,57.8,72.4,98.7,"Temperate grasslands"
"Tupeka East_169.83333_-45.4",-45.4,169.83333,45.796105434017,196.903084094748,196.903084094748,196.903084094748,NA,24.6,43.4,79.2,113.6,153,"Temperate grasslands"
"MiddleHayden_-122.6197_46.5319",46.5319,-122.6197,221.673896416054,268.380675608818,268.380675608818,268.380675608818,268.380675608818,42.1,84.2,118.6,115.1,101,"Mediterranean/Montane shrublands"
"LoganHill_-122.7896_46.5428",46.5428,-122.7896,174.559977415579,268.380675608818,268.380675608818,268.380675608818,268.380675608818,42.1,83.8,116.9,115.7,101.2,"Mediterranean/Montane shrublands"
"EarlyHaydenCreek_-122.6586_46.5186",46.5186,-122.6586,406.715699350951,659.923576504537,1427.89464142564,3825.73740307803,8462.07586642833,42.1,84.1,117.5,115.6,101.5,"Mediterranean/Montane shrublands"
"WingateHill_-122.7003_46.5208",46.5208,-122.7003,834.006814693057,1190.12443472449,4349.83018237961,8842.8625101716,12735.8667173383,41.8,83.4,116.8,114.4,100.2,"Mediterranean/Montane shrublands"
"LateEvansCreek_-122.6545_46.5071",46.5071,-122.6545,40.4629396823989,224.439185236814,268.380675608818,268.380675608818,268.380675608818,42.1,84.1,115.8,115.6,100.4,"Mediterranean/Montane shrublands"
"EarlyEvansCreek1_-122.6468_46.5131",46.5131,-122.6468,119.24759536404,268.380675608818,268.380675608818,268.380675608818,268.380675608818,41.9,83.6,115.2,114.3,99.8,"Mediterranean/Montane shrublands"
"EarlyEvansCreek2_-122.6514_46.5137",46.5137,-122.6514,189.251954330098,268.380675608818,268.380675608818,268.380675608818,268.380675608818,42,83.6,116.5,114.5,99.7,"Mediterranean/Montane shrublands"
"LateHolocene_-122.8025_46.46",46.46,-122.8025,64.5284736190319,201.448691025791,268.380675608818,NA,NA,43.4,86.8,121.6,121.6,105.6,"Mediterranean/Montane shrublands"
"PreEvansCreek_-122.7093_46.4969",46.4969,-122.7093,132.449472689628,268.380675608818,268.380675608818,207.911226701086,268.003412413168,43.4,86.8,120.4,121,105.7,"Mediterranean/Montane shrublands"
"LatestPleistocene_-122.774_46.4459",46.4459,-122.774,175.255820255885,230.691134108192,268.380675608818,268.380675608818,268.380675608818,43.3,86.9,121.1,121.3,106,"Mediterranean/Montane shrublands"
"LateHayden_-122.774_46.4459",46.4459,-122.774,154.506442671631,268.380675608818,268.380675608818,268.380675608818,268.380675608818,43.3,86.9,121.1,121.3,106,"Mediterranean/Montane shrublands"
"Santa Cruz_-122.086_36.9528",36.9528,-122.086,297.081880106798,314.73990845405,314.73990845405,314.73990845405,314.73990845405,NA,NA,NA,NA,NA,"Mediterranean/Montane shrublands"
"Santa Cruz_-122.0862_36.9679",36.9679,-122.0862,2.96105971395017,312.800116947559,314.73990845405,314.73990845405,314.73990845405,22.5,47.1,80.8,108.6,130.2,"Mediterranean/Montane shrublands"
"Santa Cruz_-122.0787_36.9763",36.9763,-122.0787,188.115698439534,314.73990845405,314.73990845405,314.73990845405,314.73990845405,21.4,45.2,76.4,104.4,125.9,"Mediterranean/Montane shrublands"
"Santa Cruz_-122.1342_36.9945",36.9945,-122.1342,214.453204767636,314.73990845405,314.73990845405,314.73990845405,314.73990845405,22,46.3,78.3,106.1,123.4,"Mediterranean/Montane shrublands"
"Mattole_-124.359_40.278",40.278,-124.359,274.222397033291,314.737761214077,314.737761214077,314.737761214077,314.737761214077,NA,NA,NA,NA,NA,"Mediterranean/Montane shrublands"
"Mattole_-124.3561_40.2718",40.2718,-124.3561,714.71949669623,1700.98482749787,2449.29080409068,2710.50948211922,2861.06663386501,43.1,87,122.9,132.9,109.5,"Mediterranean/Montane shrublands"
